UNIVERSITY,CAMPUS,COLLEGE,COURSES,MAJOR,RIASEC CODE,PRIMARY TAG,SECONDARY TAG,TERTIARY TAG
AMA Computer College,Cabanatuan ,College of Engineering,Bachelor of Science in Computer Engineering,,RIC,R,I,C
AMA Computer College,Cabanatuan ,College of Engineering,Bachelor of Science in Electronics Engineering,,RIC,R,I,C
AMA Computer College,Cabanatuan ,College of Engineering,Bachelor of Science in Electrical Engineering,,RIC,R,I,C
AMA Computer College,Cabanatuan ,College of Engineering,Bachelor of Science in Industrial Engineering,,SRE,S,R,E
AMA Computer College,Cabanatuan ,College of Business,Bachelor of Science in Business Administration,Marketing Management,ESA,E,S,A
AMA Computer College,Cabanatuan ,College of Business,Bachelor of Science in Business Administration,Human Resources Management,SEC,S,E,C
AMA Computer College,Cabanatuan ,College of Business,Bachelor of Science in Business Administration,Management Information System,ECS,E,C,S
AMA Computer College,Cabanatuan ,College of Business,Bachelor of Science in Business Administration,Financial Management,CEI,C,E,I
AMA Computer College,Cabanatuan ,College of Business,Bachelor of Science in Real Estate Management,,ECS,E,C,S
AMA Computer College,Cabanatuan ,College of Business,Bachelor of Science in Office Administration,,SRE,S,R,E
AMA Computer College,Cabanatuan ,College of Business,Bachelor of Science in Entrepreneurship,,ESR,E,S,R
AMA Computer College,Cabanatuan ,College of Accountancy,Bachelor of Science in Accountancy,,CEI,C,E,I
AMA Computer College,Cabanatuan ,College of Accountancy,Bachelor of Science in Accounting Information System,,CEI,C,E,I
AMA Computer College,Cabanatuan ,College of Accountancy,Bachelor of Science in Internal Auditing,,SRE,S,R,E
AMA Computer College,Cabanatuan ,College of Hospitality,Bachelor of Science in Hospitality Management,,ESR,E,S,R
AMA Computer College,Cabanatuan ,College of Hospitality,Bachelor of Science in Tourism Management,,ESR,E,S,R
AMA Computer College,Cabanatuan ,College of Education,Bachelor in Elementary Education,,SAE,S,A,E
AMA Computer College,Cabanatuan ,College of Education,Bachelor of Secondary Education,Computer Education,SAE,S,A,E
AMA Computer College,Cabanatuan ,College of Education,Bachelor of Secondary Education,English,ASE,A,S,E
AMA Computer College,Cabanatuan ,College of Education,Bachelor of Secondary Education,Mathematics,ICR,I,C,R
AMA Computer College,Cabanatuan ,College of Education,Bachelor of Science in Virtual Education,,SAE,S,A,E
AMA Computer College,Cabanatuan ,College of Nursing,Bachelor of Science in Nursing,,SIA,S,I,A
AMA Computer College,Cabanatuan ,College of Arts and Social Sciences,Bachelor of Science in Psychology,,SIA,S,I,A
AMA Computer College,Cabanatuan ,College of Arts and Social Sciences,Bachelor of Science in Social Work,,SRE,S,R,E
AMA Computer College,Cabanatuan ,College of Arts and Social Sciences,Bachelor of Arts in Political Science,,ESA,E,S,A
AMA Computer College,Cabanatuan ,College of Arts and Social Sciences,Bachelor of Arts in English,,ASE,A,S,E
AMA Computer College,Cabanatuan ,College of Arts and Social Sciences,Bachelor of Arts in Communication,,ASE,A,S,E
AMA Computer College,Cabanatuan ,College of Arts and Social Sciences,Bachelor of Arts in Economics,,ASE,A,S,E
AMA Computer College,Cabanatuan ,College of Arts and Social Sciences,Bachelor of Arts in Psychology,,SIA,S,I,A
AMA Computer College,Cabanatuan ,College of Criminology,Bachelor of Science in Criminology,,RES,R,E,S
AMA Computer College,Cabanatuan ,College of Maritime,Bachelor of Science in Marine Transportation,,SRE,S,R,E
AMA Computer College,Cabanatuan ,College of Aviation,Private Pilot License Course,,SRE,S,R,E
AMA Computer College,Cabanatuan ,College of Aviation,Flight Instructor Course,,SRE,S,R,E
AMA Computer College,Cabanatuan ,College of Aviation,2-Year Aircraft Maintenance Tech,,SRE,S,R,E
AMA Computer College,Cabanatuan ,College of Aviation,2-Year Aviation Electronics Tech,,RIC,R,I,C
ABE International Business College,Cabanatuan,College of Computing,Bachelor of Science in Computer Science,,ICR,I,C,R
ABE International Business College,Cabanatuan,College of Computing,Bachelor of Science in Cybersecurity,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Computing,Bachelor of Science in Artificial Intelligence,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Computing,Bachelor of Science in Information Systems,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Computing,Bachelor of Science in Blockchain Technology,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Computing,Bachelor of Science in Data Science,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Computing,Bachelor of Science in Entertainment & Multimedia Computing,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Computing,Bachelor of Science in Electronics and Communications Engineering,,RIC,R,I,C
ABE International Business College,Cabanatuan,College of Engineering,Bachelor of Science in Computer Engineering,,RIC,R,I,C
ABE International Business College,Cabanatuan,College of Engineering,Bachelor of Science in Electronics Engineering,,RIC,R,I,C
ABE International Business College,Cabanatuan,College of Engineering,Bachelor of Science in Electrical Engineering,,RIC,R,I,C
ABE International Business College,Cabanatuan,College of Engineering,Bachelor of Science in Industrial Engineering,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Business,Bachelor of Science in Business Administration,Marketing Management,ESA,E,S,A
ABE International Business College,Cabanatuan,College of Business,Bachelor of Science in Business Administration,Human Resources Management,SEC,S,E,C
ABE International Business College,Cabanatuan,College of Business,Bachelor of Science in Business Administration,Management Information System,ECS,E,C,S
ABE International Business College,Cabanatuan,College of Business,Bachelor of Science in Business Administration,Financial Management,CEI,C,E,I
ABE International Business College,Cabanatuan,College of Business,Bachelor of Science in Real Estate Management,,ECS,E,C,S
ABE International Business College,Cabanatuan,College of Business,Bachelor of Science in Office Administration,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Business,Bachelor of Science in Entrepreneurship,,ESR,E,S,R
ABE International Business College,Cabanatuan,College of Accountancy,Bachelor of Science in Accountancy,,CEI,C,E,I
ABE International Business College,Cabanatuan,College of Accountancy,Bachelor of Science in Accounting Information System,,CEI,C,E,I
ABE International Business College,Cabanatuan,College of Accountancy,Bachelor of Science in Internal Auditing,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Hospitality,Bachelor of Science in Hospitality Management,,ESR,E,S,R
ABE International Business College,Cabanatuan,College of Hospitality,Bachelor of Science in Tourism Management,,ESR,E,S,R
ABE International Business College,Cabanatuan,College of Education,Bachelor in Elementary Education,,SAE,S,A,E
ABE International Business College,Cabanatuan,College of Education,Bachelor of Secondary Education,Computer Education,SAE,S,A,E
ABE International Business College,Cabanatuan,College of Education,Bachelor of Secondary Education,English,ASE,A,S,E
ABE International Business College,Cabanatuan,College of Education,Bachelor of Secondary Education,Mathematics,ICR,I,C,R
ABE International Business College,Cabanatuan,College of Education,Bachelor of Science in Virtual Education,,SAE,S,A,E
ABE International Business College,Cabanatuan,College of Nursing,Bachelor of Science in Nursing,,SIA,S,I,A
ABE International Business College,Cabanatuan,College of Arts and Social Sciences,Bachelor of Science in Psychology,,SIA,S,I,A
ABE International Business College,Cabanatuan,College of Arts and Social Sciences,Bachelor of Science in Social Work,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Arts and Social Sciences,Bachelor of Arts in Political Science,,ESA,E,S,A
ABE International Business College,Cabanatuan,College of Arts and Social Sciences,Bachelor of Arts in English,,ASE,A,S,E
ABE International Business College,Cabanatuan,College of Arts and Social Sciences,Bachelor of Arts in Communication,,ASE,A,S,E
ABE International Business College,Cabanatuan,College of Arts and Social Sciences,Bachelor of Arts in Economics,,ASE,A,S,E
ABE International Business College,Cabanatuan,College of Arts and Social Sciences,Bachelor of Arts in Psychology,,SIA,S,I,A
ABE International Business College,Cabanatuan,College of Criminology,Bachelor of Science in Criminology,,RES,R,E,S
ABE International Business College,Cabanatuan,College of Maritime,Bachelor of Science in Marine Transportation,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Aviation,Private Pilot License Course,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Aviation,Flight Instructor Course,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Aviation,2-Year Aircraft Maintenance Tech,,SRE,S,R,E
ABE International Business College,Cabanatuan,College of Aviation,2-Year Aviation Electronics Tech,,RIC,R,I,C
Midway College,Cabanatuan,College of Maritime Education,Bachelor of Science in Marine Transportation,,SRE,S,R,E
Midway College,Cabanatuan,College of Maritime Education,Bachelor of Science in Marine Engineering,,SRE,S,R,E
Midway College,Cabanatuan,College of Business,Bachelor of Science in Customs Administration,,SRE,S,R,E
Midway College,Cabanatuan,College of Business,Bachelor of Science in Entrepreneurship,,ESR,E,S,R
Midway College,Cabanatuan,Teacher Education,Bachelor of Technical-Vocational Teacher Education,Food and Service Management,ECS,E,C,S
Midway College,Cabanatuan,Information Systems,Bachelor of Science in Information Systems,,SRE,S,R,E
East Systems College of Rizal,Rizal,College of Information Technology,Bachelor of Science in Information Technology,,ICR,I,C,R
East Systems College of Rizal,Rizal,College of Information Technology,Bachelor of Science in Computer Science,,ICR,I,C,R
East Systems College of Rizal,Rizal,College of Business,Bachelor of Science in Business Administration,,ECR,E,C,R
East Systems College of Rizal,Rizal,College of Business,Bachelor of Science in Accounting Information System,,CEI,C,E,I
East Systems College of Rizal,Rizal,College of Business,Bachelor of Science in Office Administration,,SRE,S,R,E
East Systems College of Rizal,Rizal,Teacher Education,Bachelor in Technical-Vocational Teacher Education,Food and Service Management,ECS,E,C,S
East Systems College of Rizal,Rizal,Teacher Education,Bachelor in Technical-Vocational Teacher Education,Electrical Technology,RIC,R,I,C
Holly Cross College ,Santa Rosa,College of Education ,Bachelor of Elementary Education (BEED),,SAE,S,A,E
Holly Cross College ,Santa Rosa,College of Education ,Bachelor of Secondary Education (BSED),English ,ASE,A,S,E
Holly Cross College ,Santa Rosa,College of Education ,Bachelor of Secondary Education (BSED),Mathematics ,ICR,I,C,R
Holly Cross College ,Santa Rosa,College of Business ,Bachelor of Science in Business Administration (BSBA),Banking & Finance,ECR,E,C,R
Holly Cross College ,Santa Rosa,College of Business ,Bachelor of Science in Business Administration (BSBA),Marketing Management ,ESA,E,S,A
Holly Cross College ,Santa Rosa,College of Business ,Bachelor of Science in Accountancy (BSA),,CEI,C,E,I
Holly Cross College ,Santa Rosa,College of Business ,Bachelor of Science in Accounting Information System (BSAIS),,CEI,C,E,I
Holly Cross College ,Santa Rosa,College of Information Technology ,Bachelor of Science in Computer Science (BSCS),,ICR,I,C,R
Holly Cross College ,Santa Rosa,College of Tourism & Hospitality ,Bachelor of Science in Hotel and Restaurant Management (BSHRM),,ESR,E,S,R
Holly Cross College ,Santa Rosa,College of Tourism & Hospitality ,Bachelor of Science in Tourism Management (BSTM),,ESR,E,S,R
Holly Cross College ,Santa Rosa,College of Criminology ,Bachelor of Science in Criminology (BS Criminology),,RES,R,E,S
Tomas Claudio Colleges,Rizal,College of Arts and Sciences,Bachelor of Science in Public Administration (BSPAd),,ECS,E,C,S
Tomas Claudio Colleges,Rizal,College of Arts and Sciences,Bachelor of Science in Nursing (BSN),,SIA,S,I,A
Tomas Claudio Colleges,Rizal,College of Arts and Sciences,Bachelor of Science in Physical Therapy (BSPT),,SIR,S,I,R
Tomas Claudio Colleges,Rizal,College of Arts and Sciences,Bachelor of Arts (AB),,ASE,A,S,E
Tomas Claudio Colleges,Rizal,College of Arts and Sciences,Bachelor of Science in Criminology (BS Criminology) ,,RES,R,E,S
Tomas Claudio Colleges,Rizal,College of Computer Studies,Bachelor of Science in Computer Science (BSCS),,ICR,I,C,R
Tomas Claudio Colleges,Rizal,College of Business Administration ,Bachelor of Science in Accountancy (BSA),,CEI,C,E,I
Tomas Claudio Colleges,Rizal,College of Business Administration ,Bachelor of Science in Business Administration (BSBA),Financial Management & Accounting,CEI,C,E,I
Tomas Claudio Colleges,Rizal,College of Business Administration ,Bachelor of Science in Business Administration (BSBA),Marketing Management,ESA,E,S,A
Tomas Claudio Colleges,Rizal,College of Business Administration ,Bachelor of Science in Business Administration (BSBA),Financial Management,CEI,C,E,I
Tomas Claudio Colleges,Rizal,College of Business Administration ,Bachelor of Science in Business Administration (BSBA),Operations Management,ECS,E,C,S
Tomas Claudio Colleges,Rizal,College of Business Administration ,Bachelor of Science in Business Administration (BSBA),Human Resource Development Management (HRDM),SEC,S,E,C
San Jose Christian College ,San Jose City,College of Education ,Bachelor of Elementary Education (BEEd),,SAE,S,A,E
San Jose Christian College ,San Jose City,College of Education ,Bachelor of Secondary Education (BSEd),English ,ASE,A,S,E
San Jose Christian College ,San Jose City,College of Education ,Bachelor of Secondary Education (BSEd),Mathematics ,ICR,I,C,R
San Jose Christian College ,San Jose City,College of Business ,Bachelor of Science in Business Administration (BSBA),Marketing Management ,ESA,E,S,A
San Jose Christian College ,San Jose City,College of Business ,Bachelor of Science in Business Administration (BSBA),Financial Management ,CEI,C,E,I
"Mater Redemptoris College of San Jose City, Inc.",San Jose City,College of Education ,Bachelor of Elementary Education (BEEd) ,,SAE,S,A,E
"Mater Redemptoris College of San Jose City, Inc.",San Jose City,College of Education ,Bachelor of Secondary Education (BSEd),English ,ASE,A,S,E
"Mater Redemptoris College of San Jose City, Inc.",San Jose City,College of Arts,Bachelor of Arts in Religious Education (AB Religious Education),,SAE,S,A,E
"Mater Redemptoris College of San Jose City, Inc.",San Jose City,College of Arts,Bachelor of Arts in Theology (AB Theology),,SAI,S,A,I
"Mater Redemptoris College of San Jose City, Inc.",San Jose City,College of Arts,Bachelor of Arts in Philosophy (AB Philosophy) ,,SAI,S,A,I
"Mater Redemptoris College of San Jose City, Inc.",San Jose City,College of Arts,Bachelor of Arts in Communication (AB Communication) ,,ASE,A,S,E
"Santiago""Santy"" R. Austria College",Jaen,College of Business ,Bachelor of Science in Entrepreneurship (B.S. Entrepreneurship),,ESR,E,S,R
"Santiago""Santy"" R. Austria College",Jaen,College of Education ,Bachelor of Early Childhood Education (B.E.Ced),,SAE,S,A,E
